Adrresse,Prix,Ville,Region,Chambres,Salles de bain,Salles d'eau,Etages,Aire habitable,Taille terrain,Taxes municipales,Taxes scolaires,Électricité,Assurances
"3274, rue François",500 000 $,Sorel-Tracy,Montérégie (Rive-Sud Montréal),4,2,,2,"2,160 ",119.26x179.99 ,"3 316,00 $","266,00 $","3 045,00 $","1 680,00 $"
"2427, rang des Campagnards",500 000 $,Thetford Mines,Chaudière-Appalaches,3,2,,2,,"348,480.00 ",,,,
"1774-9950, place de l'Acadie",500 000 $,Ahuntsic / Cartierville,Montréal / l'Île,2,1,,1,782.25 ,,"1 996,00 $","242,00 $","1 020,00 $","385,00 $"
"55, chemin du Lac-Quesnel",500 000 $,St-Émile-De-Suffolk,Outaouais,,,,,,3 085 889.34 ,"749,51 $","81,02 $",,
"222, rue Sémillon- Par Les Entreprises Lachance",500 000 $,Drummondville (Drummondville),Centre-du-Québec,3,1,1,2,"1,700 ","6,765 ",,,,
"156, 50e rue Est",500 000 $,Venise-En-Quebec,Montérégie (Rive-Sud Montréal),2,1,,2,1 480 ,13 742 ,"4 953,00 $","473,00 $",,
rue du Père Joseph-Jean,500 000 $,Rimouski (Rimouski),Bas-Saint-Laurent,,,,,,1 020 231.42 ,,,,
"88, rue Guy - Unité #2 - Par les Habitations Raymond Guay et associés Inc.","500 021,74 $",Longueuil (Vieux-Longueuil),Montérégie (Rive-Sud Montréal),4,2,1,2,"1,350 ",,,,,
"17, rue de Bernay - Projet Place Notre Dame - Par Groupe Mathieu",500 109 $,Blainville,Laurentides,2,1,,2,,,,,,
"8698, avenue Royale",500 634 $,Château-Richer,Québec Rive-Nord,,,,,,"37,084 ",,,,
"229-168, boulevard Lévesque Est",501 000 $,Pont-Viau,Laval,2,1,,1,955 ,,"1 900,00 $","325,00 $",,"250,00 $"
"111-2040, boulevard Rosemont - Lumina condo",502 505 $,Rosemont / La Petite Patrie,Montréal / l'Île,2,2,,1,"1,122 ",,,,,
"3310, rue Suzor-Côté - Par Les Entreprises Lachance",503 300 $,Sherbrooke (Mont-Bellevue),Estrie,3,2,,1,"2,128 ","6,116 ",,,,
"8-10C, rue Antoinette",505 000 $,Victoriaville,Centre-du-Québec,8,6,,,,428.7 ,"5 032,00 $","675,00 $",,
"88, rue Guy - Unité #3 - Par les Habitations Raymond Guay et associés Inc.","506 979,78 $",Longueuil (Vieux-Longueuil),Montérégie (Rive-Sud Montréal),4,2,1,2,"1,384 ",,,,,
"401-1199, rue Bishop",507 000 $,Ville-Marie (Centre-Ville et Vieux Mtl),Montréal / l'Île,1,1,1,1,652 ,652 ,"2 494,33 $",,,
"3, rue Lévesque",508 000 $,Témiscouata-sur-le-Lac,Bas-Saint-Laurent,5,2,1,2,"1,884 ","18,448 ","4 818,00 $","1 051,81 $",,"1 191,00 $"
"4-944, avenue Davaar",509 000 $,Outremont,Montréal / l'Île,2,1,1,3,"1,084 ","5,600.35 ","1,00 $","1,00 $","480,00 $","1,00 $"
"5118, rue Cartier",509 000 $,Mont-Royal,Montréal / l'Île,2,1,,2,825 ,1 750.21 ,"1 978,09 $","251,63 $","1 197,38 $","446,70 $"
"18, rue Foucreault",509 000 $,St-Philippe,Montérégie (Rive-Sud Montréal),3,2,1,2,"1,356 ","3,132 ","3 363,00 $","644,00 $",,
"1203-7700, rue du Mans",509 000 $,Saint-Léonard,Montréal / l'Île,2,1,,1,"1,131 ",,"2 998,64 $","347,55 $","1 210,00 $","600,00 $"
"8652, rue Romain",509 000 $,St-François,Laval,3,2,,1,884 ,52x100 ,"2 593,12 $","277,98 $","2 844,42 $",
"3039, rue William-Stuart",509 000 $,Ste-Foy,Québec Rive-Nord,,,,,,10 401 ,,,,
", chemin du Domaine",509 603 $,St-Donat,Lanaudière,,,,,,"1,132,452 ",,,,
rue Valois - Domaine Villemory - Par Les Habitations Entourages,509 900 $,St-Lin-Laurentides,Lanaudière,3,1,1,2,"1,608 ","6,491.71 ",,,,
"2, rue Plessis",509 900 $,Gatineau (Hull),Outaouais,3,2,1,2,"1,200 ",39.99x66.01 ,"2 688,10 $","197,80 $","1 260,00 $",
"160, rue du Curé-Charles-Lamoureux",509 900 $,Ste-Hélène-De-Bagot,Montérégie (Rive-Sud Montréal),4,1,1,2,1 410 ,8 827 ,"2 800,00 $","237,00 $","2 500,00 $","1 600,00 $"
"523, chemin du Ruisseau-Barre",510 000 $,Marieville,Montérégie (Rive-Sud Montréal),4,1,,2,"1,552 ","53,000 ",,,,
"1239, rue Alice-Campbell - Plateau McCrea - Par les Constructions Christian Belleau",510 000 $,Sherbrooke (Jacques-Cartier),Estrie,2,1,,1,"1,125 ",,,,,
"1180, rue Croteau",510 000 $,St-Agapit,Chaudière-Appalaches,2,1,,,,"9,810 ","5 747,00 $","398,73 $",,
"212, rue Féré",510 000 $,St-Eustache,Laurentides,5,3,,,,"4,698.45 ","3 973,00 $","274,00 $","1 585,00 $","782,00 $"
"1108, rue des Jonquilles",510 000 $,Victoriaville,Centre-du-Québec,4,2,1,1,"1,440 ","6,771 ","3 852,00 $","249,00 $","1 800,00 $",
"540, rue le Marinel",510 000 $,Beauport,Québec Rive-Nord,3,2,,2,"1,636.11 ","5,532.65 ","3 551,89 $","315,00 $",,
"165, rue Pierre-Constantin",510 000 $,St-Augustin-De-Desmaures,Québec Rive-Nord,2,1,1,2,"1,680 ","5,515 ",,,,
"306-308, rue Dolorès",510 000 $,St-Amable,Montérégie (Rive-Sud Montréal),4,2,2,,,4 101.05 ,"3 295,00 $","268,00 $",,"1 000,00 $"
"95, rue Philippe-Poulin",510 000 $,Lévis,Québec Rive-Sud (Lévis),5,2,,2,1 237.85 ,8 361 ,"3 652,57 $","358,21 $","2 331,87 $","1 556,04 $"
"3537, chemin St-Louis",511 000 $,Ste-Foy,Québec Rive-Nord,3,2,,1,"1,427 ",,"3 696,84 $","366,09 $","1 042,25 $","350,00 $"
"2620, rue Ontario Est - unité 910 - Le Moden",511 900 $,Ville-Marie (Centre-Ville et Vieux Mtl),Montréal / l'Île,2,1,,1,817 ,,,,,
"205, rue Gemme",514 000 $,Granby,Estrie,3,1,1,2,"2,314 ","6,002.8 ","3 186,55 $","278,26 $","3 350,00 $",
"2589, chemin Royal",514 500 $,Ile d'Orléans (Ste-Famille),Québec Rive-Nord,5,1,,2,1 580 ,14 223.43 ,"1 913,00 $","213,28 $","3 293,00 $","1 697,80 $"
"21, chemin des Pierres",514 500 $,Mandeville,Lanaudière,4,2,,2,2 048 ,130 680.00 ,"1 471,40 $",,,
"101-11980, rue d'Amboise",514 800 $,Mirabel (Domaine-Vert Nord),Laurentides,2,2,,1,"1,292 ",,"1 732,94 $","267,01 $","540,00 $",
"713-1225, rue Notre-Dame O",515 000 $,Ville-Marie (Centre-Ville et Vieux Mtl),Montréal / l'Île,2,1,,1,725.49 ,,"2 641,00 $","355,00 $",,
"10494, avenue des Laurentides",515 000 $,Montréal-Nord,Montréal / l'Île,4,2,,1,807 ,"4,097 ","2 321,11 $","287,28 $","1 767,08 $",
"20, rue Pleasant",515 000 $,Sutton,Estrie,3,1,1,2,"1,498 ","4,828 ","2 257,21 $","203,37 $","1 791,98 $","763,01 $"
"12735, avenue Jean-Nollet",515 000 $,Rivière des Prairies,Montréal / l'Île,5,1,1,1,"1,152 ","5,649 ","2 550,00 $","280,00 $","1 050,00 $",
"104-607, rue du Charpentier",515 000 $,Bromont,Estrie,2,1,,1,1 096 ,16 000 ,"2 589,97 $","218,62 $","734,48 $","506,85 $"
"14, rue Raoul",515 000 $,Gatineau (Gatineau),Outaouais,6,2,,1,1 119.45 ,6 003.03 ,,,,
"63, rue Martin",515 000 $,Blainville,Laurentides,4,1,1,1,864 ,4 770 ,"2 284,00 $","250,00 $","1 550,00 $","900,00 $"
"2200, rue de la Bastille",515 000 $,Drummondville (St-Charles-De-Drummond),Centre-du-Québec,3,2,1,1,1 546 ,35 836 ,"2 688,00 $",,,
"402, chemin du Réservoir",515 900 $,Péribonka,Saguenay-Lac-Saint-Jean,2,1,1,2,"1,720 ","54,528 ","1 630,41 $","214,85 $","2 400,00 $","1 600,00 $"
"10540, avenue Pigeon",499 999 $,Montréal-Nord,Montréal / l'Île,4,2,1,2,181.66x6.56 ,28.51x92.29 ,"2 490,71 $","259,18 $",,
Route 333,516 000 $,St-Hippolyte,Laurentides,,,,,,"51,600 ",,,,
"2281, rue des Alluchons",516 500 $,St-Étienne-De-Lauzon,Québec Rive-Sud (Lévis),5,1,1,1,1 214 ,7 007 ,"3 316,00 $","355,00 $","268,00 $",
rue Larose,518 000 $,Dunham,Estrie,,,,,,"74,089.07 ","338,00 $","38,00 $",,
À CONSTRUIRE - rue des Saphirs - Par les Habitations JLS Côté,518 875 $,Ste-Sophie,Laurentides,2,1,,1,"1,300 ","33,000 ",,,,
"4-3490, boulevard Saint-Joseph",519 000 $,Lachine,Montréal / l'Île,2,1,,1,"1,000 ",,"2 695,00 $","664,00 $",,
"1100, rue Picasso",519 000 $,St-Jean-Chrysostome,Québec Rive-Sud (Lévis),6,2,1,2,"1,982 ","8,145 ","2 901,00 $","695,00 $","2 004,00 $","700,00 $"
"108, rue du Collège",519 000 $,St-Romuald,Québec Rive-Sud (Lévis),5,2,,2,"2,700 ","7,728 ","3 205,00 $","680,00 $","5 060,00 $",
"25, avenue Bellevue",519 000 $,Baie-Comeau,Côte-Nord,3,1,2,2,"2,897 ","26,416 ","5 431,81 $","266,03 $","3 688,84 $","1 846,00 $"
"52, chemin des Crêtes",519 000 $,Lac-Beauport,Québec Rive-Nord,3,1,1,2,"2,184 ","28,000 ","3 273,00 $","386,00 $",,
"32, rue de Manseau",519 000 $,Cantley,Outaouais,3,1,1,2,"1,411 ","37,673.69 ","2 791,12 $","269,31 $",,
"130, rue Fontaine",519 000 $,St-Jean-sur-Richelieu (L'Acadie),Montérégie (Rive-Sud Montréal),3,2,,1,1 164 ,28 799.92 ,"2 326,18 $","239,21 $",,
"191, rue Principale",519 000 $,East Farnham,Estrie,4,2,,2,"2,350 ","23,796.8 ","1 993,85 $","212,04 $","2 660,00 $","3 100,00 $"
"1340, chemin des Oliviers",519 000 $,Ste-Émélie-De-L'Énergie,Lanaudière,3,1,1,2,"1,132 ","128,323 ","1 403,00 $","117,00 $","1 140,00 $",
"106-5740, boulevard Marie-Victorin",519 000 $,Brossard,Montérégie (Rive-Sud Montréal),2,1,,1,"1,200 ",,"1 900,00 $","280,00 $","600,00 $","480,00 $"
"105-2100, avenue Aird",519 000 $,Mercier / Hochelaga / Maisonneuve,Montréal / l'Île,3,1,,1,984.9 ,,"3 016,46 $","353,59 $","792,00 $","381,50 $"
"1432, rue Beaudry",519 000 $,Ville-Marie (Centre-Ville et Vieux Mtl),Montréal / l'Île,2,1,,2,1 150 ,,"3 120,00 $","348,00 $","1 600,00 $",
"1-4667, rue de Chambly",519 000 $,Rosemont / La Petite Patrie,Montréal / l'Île,3,1,,1,1 157 ,,"2 546,87 $","305,87 $","1 225,20 $","453,00 $"
"172, rue Trenton",519 900 $,Chateauguay,Montérégie (Rive-Sud Montréal),5,2,,1,"1,100 ","8,300 ","3 000,00 $","200,00 $","2 000,00 $",
"126, rue Malard",519 900 $,Ste-Rose,Laval,3,2,,1,928 ,6 000 ,"2 700,00 $","287,00 $","2 245,00 $","960,00 $"
"102-6600, boulevard Henri-Bourassa Ouest",519 900 $,Saint-Laurent,Montréal / l'Île,2,1,,4,780.38 ,879.20 ,"2 176,65 $","279,35 $",,
"111, rue Auguste-Renoir",519 900 $,Gatineau (Gatineau),Outaouais,5,2,,1,1 120 ,4 678 ,"3 139,61 $","212,63 $",,
"194, rue Lasalle",519 900 $,St-Constant,Montérégie (Rive-Sud Montréal),3,2,1,2,1 285 ,2 838.44 ,"3 178,50 $","286,00 $","1 800,00 $",
"39, rue de Salernes",519 999 $,Gatineau (Gatineau),Outaouais,3,1,1,2,"1,819 ","5,015 ","3 613,31 $","279,86 $","2 700,00 $",
7e Rang,520 000 $,St-Zacharie,Chaudière-Appalaches,,,,,,"577,183.48 ",,,,
"234-236-238,  rue Marie-de-l'Incarnation",520 000 $,Saint-Sauveur,Québec Rive-Nord,1,1,,,,"2,900 ","9 778,00 $","342,00 $",,"2 400,00 $"
"5155-5157, rue Lacordaire",520 000 $,Mercier / Hochelaga / Maisonneuve,Montréal / l'Île,,,,,,"2,685.60 ",,,,
"479, rue Germaine-Guevremont",520 000 $,Rimouski (Rimouski),Bas-Saint-Laurent,3,2,,1,33x35 ,7 100 ,,,,
"512-695, boulevard Perrot",520 000 $,L'Ile-Perrot,Montérégie Ouest,2,1,,1,797 ,,"2 843,61 $","274,30 $",,
"3985, route du Lac Ouest",520 000 $,Alma,Saguenay-Lac-Saint-Jean,4,2,,1,"1,300 ","29,790 ","2 960,00 $","280,00 $","2 110,00 $",
"12821, rue Berry",520 000 $,Pierrefonds / Roxboro,Montréal / l'Île,3,1,,1,"1,100 ","6,000 ","2 479,00 $","187,00 $","575,00 $","682,00 $"
"99-101, avenue Rouleau",520 000 $,Rimouski (Rimouski),Bas-Saint-Laurent,7,7,,,,"5,284 ","6 771,00 $","327,00 $","1 676,00 $",
"1357, rue des Merisiers",520 000 $,Terrebonne (Lachenaie),Lanaudière,3,1,,1,903.95 ,5 586 ,"2 636,00 $","225,00 $",,
"94-96-98-606-608-610-612-614, avenue de Grand-Mère",521 000 $,Shawinigan (Grand-Mère),Mauricie,13,8,,,,"10,000 ","7 430,00 $","216,00 $",,
"27, chemin du Lac-Clair",522 000 $,Val-Des-Monts (Perkins),Outaouais,4,1,2,2,"1,728 ","48,872.46 ","2 660,00 $","260,00 $","2 500,00 $","960,00 $"
"509-555, boulevard René-Lévesque E",524 000 $,Ville-Marie (Centre-Ville et Vieux Mtl),Montréal / l'Île,2,1,,1,798 ,,"3 195,00 $","410,00 $",,
"1985, route Sir-Wilfrid-Laurier",524 900 $,Mirabel (St-Jérusalem),Laurentides,4,1,1,2,"2,200 ","67,046 ","1 460,00 $","600,00 $","2 000,00 $","1 200,00 $"
"1552A, boulevard Maloney Est",524 900 $,Gatineau (Gatineau),Outaouais,5,2,1,2,"2,732 ","7,630 ","3 933,68 $","306,29 $","1 731,19 $","2 433,97 $"
"1070, rue André-Giguère - Par Rochette Construction",524 900 $,Ste-Marie,Chaudière-Appalaches,3,1,1,2,,"9,236 ",,,,
"370, rue Roger-Lemelin",524 900 $,Lavaltrie,Lanaudière,6,2,1,2,"1,250 ","6,200 ","3 280,00 $","300,00 $",,
"1688, rue Wilfrid-Pelletier",524 900 $,St-Jérôme (St-Antoine),Laurentides,5,1,,1,1 200 ,6 984 ,,,,
"152, rue Loring",524 999 $,Drummondville (Drummondville),Centre-du-Québec,2,,,,,"2,739.42 ","4 754,25 $","259,82 $",,"1 800,00 $"
"301-3100, rue Guillaume-Lahaise",525 000 $,Mercier / Hochelaga / Maisonneuve,Montréal / l'Île,4,2,,1,"1,300 ",,,,,
"5-4595, chemin des Prairies",525 000 $,Brossard,Montérégie (Rive-Sud Montréal),2,1,,1,"1,222 ",,,,"450,00 $",
"3020, rue de Bourbon",525 000 $,Sorel-Tracy,Montérégie (Rive-Sud Montréal),7,2,1,2,"1,884 ","6,300 ","2 937,00 $","1 170,00 $","1 800,00 $",
"9-2505, avenue Van Horne",525 000 $,Côte-des-Neiges / Notre-Dame-de-Grâce,Montréal / l'Île,3,1,,4,"1,200 ","10,517.42 ",,,,
"101-11845, rue d'Amboise",525 000 $,Mirabel (Domaine-Vert Nord),Laurentides,2,2,,1,"1,258 ",,"1 694,44 $","616,93 $",,"333,54 $"
"106-520, rue Rielle",525 000 $,Verdun,Montréal / l'Île,2,1,1,2,"1,157 ",,"2 767,00 $","423,00 $","810,00 $",
"323, rue Principale",525 000 $,St-Octave-De-Metis,Bas-Saint-Laurent,7,3,,2,"3,589.98 ","37,562.82 ","2 294,00 $","322,00 $","1 437,00 $","3 600,00 $"
"545, rue Jean-J-Crête",525 000 $,Grandes-Piles,Mauricie,3,1,1,,,"38,405.63 ","2 931,00 $","719,00 $","3 000,00 $",
"3-1471, rue Notre-Dame Ouest",525 000 $,Ville-Marie (Centre-Ville et Vieux Mtl),Montréal / l'Île,2,1,,1,"1,063.47 ",,"2 539,18 $","303,27 $","1 249,96 $","1 049,31 $"
"17, rue de l'Aqueduc",525 000 $,Victoriaville,Centre-du-Québec,12,5,,,,"7,295.78 ","5 308,24 $","250,79 $",,"2 012,14 $"
4904-4906,525 000 $,Ile d'Orléans (St-Jean),Québec Rive-Nord,2,1,1,2,928 ,"17,950.97 ","4 859,00 $","432,78 $","1 500,00 $","2 200,00 $"
"602-80, rue Prince",525 000 $,Ville-Marie (Centre-Ville et Vieux Mtl),Montréal / l'Île,1,1,,1,840 ,,"2 657,84 $","520,00 $","604,00 $","280,00 $"
"1777, rue Dollard",525 000 $,Longueuil (Vieux-Longueuil),Montérégie (Rive-Sud Montréal),4,2,,,,74.80x86.61 ,"2 400,00 $","400,00 $",,
"930, chemin Bélair Est",525 000 $,St-Jean-Chrysostome,Québec Rive-Sud (Lévis),,,,,,"3,309,218.74 ",,,,
"3, route du Parc",525 000 $,Les Hauteurs,Bas-Saint-Laurent,3,2,,1,"1,200 ","56,772 ","2 371,40 $","276,24 $","1 553,00 $","1 067,00 $"
"1162, rue des Vallées",525 000 $,St-Dominique,Montérégie (Rive-Sud Montréal),5,2,,1,"1,201 ","6,904 ","2 621,58 $","407,94 $","3 000,00 $","1 044,00 $"
"967-969, avenue de Salaberry",525 000 $,Montcalm,Québec Rive-Nord,5,2,,,,"2,268 ","4 919,36 $","426,17 $","2 654,13 $","1 220,00 $"
"1055, rue Cormier",525 000 $,Drummondville (Drummondville),Centre-du-Québec,8,3,,,,"6,068.69 ","3 410,97 $","252,95 $","1 270,00 $","1 539,08 $"
"1243, 1e Avenue",525 000 $,Ormstown,Montérégie (Rive-Sud Montréal),3,2,,1,"1,013 ","8,220 ",,,,
"3081, rue Joseph-Hardy",525 000 $,Longueuil (St-Hubert),Montérégie (Rive-Sud Montréal),4,1,1,2,"1,352 ","4,000 ","2 800,00 $","700,00 $","2 000,00 $","1 000,00 $"
"30, rue du Domaine",525 000 $,Magog,Estrie,4,2,,1,"1,130 ","7,850 ","2 592,89 $","233,04 $","1 600,00 $",
"211, rue de Limoilou",525 000 $,St-Colomban,Laurentides,3,2,,2,2 012 ,32 418 ,"2 789,22 $",,"2 649,21 $",
"5891-5901, boulevard Bourque",525 000 $,Sherbrooke (Rock Forest),Estrie,12,6,,,,"15,004.89 ","7 299,00 $",,"2 685,00 $","3 082,00 $"
"505, rue du Richelieu",525 000 $,Drummondville (St-Charles-De-Drummond),Centre-du-Québec,3,2,1,2,1 800 ,60x90 ,"2 918,67 $","294,91 $","3 000,00 $",
"3565, rue Caron",525 000 $,Longueuil (St-Hubert),Montérégie (Rive-Sud Montréal),3,2,,2,1 377.78 ,4 499.31 ,"2 072,00 $","172,00 $","1 760,00 $","1 185,00 $"
"516, rue Brunelle",525 000 $,Granby,Estrie,5,4,2,2,"2,020 ","43,628.28 ","3 377,00 $","369,00 $","4 000,00 $","2 265,00 $"
"7, rue Florence",525 000 $,Canton de Stanstead,Estrie,5,1,1,2,2 280 ,65 340.00 ,"1 279,59 $","234,74 $",,
"5910, rue de la Rivière",525 000 $,Val-Morin,Laurentides,3,2,,1,,"16,995.14 ","3 134,04 $","22,08 $",,
"5511, rue Taillon",525 000 $,Mercier / Hochelaga / Maisonneuve,Montréal / l'Île,3,1,1,3,"1,295.97 ",27x90 ,"2 976,76 $","344,78 $","1 300,45 $","1 115,00 $"
"184, rue des Saphirs",525 000 $,Boischatel,Québec Rive-Nord,4,2,,1,1 339 ,10 194.50 ,"4 061,00 $","371,00 $",,
"12, rue de Saint-Étienne-de-Lauzon",525 000 $,St-Étienne-De-Lauzon,Québec Rive-Sud (Lévis),6,3,,,,"8,000 ","4 200,38 $","306,90 $",,"1 687,00 $"
"230-230A-230B-232-234, rue Anna",525 000 $,Saint-Sauveur,Québec Rive-Nord,11,5,,,,"4,097.82 ","6 107,03 $","388,93 $",,"4 439,00 $"
"172, avenue de Balmoral",525 000 $,La Prairie,Montérégie (Rive-Sud Montréal),2,1,1,2,1 200 ,2 500 ,"1 882,00 $","224,15 $","1 200,00 $","1 000,00 $"
"902-2875, avenue du Cosmodôme",525 000 $,Chomedey,Laval,2,1,1,1,997.81 ,"19,500 ","3 000,00 $","332,96 $","572,69 $",
"373, rang Sainte-Julie Est",525 000 $,St-André-Avellin,Outaouais,3,2,,1,1 435 ,27 568 ,"2 892,00 $","223,00 $","1 827,00 $","814,00 $"
"2170, avenu De Lorimier",525 000 $,Ville-Marie (Centre-Ville et Vieux Mtl),Montréal / l'Île,3,1,,1,"1,200 ",187.3 ,"5 060,00 $",,,"140,00 $"
"85, rue Pierre-Debain",525 000 $,Gatineau (Aylmer),Outaouais,3,1,1,2,"1,767.43 ","2,583.34 ","3 551,47 $","460,00 $","900,00 $","1 200,00 $"
"108-268, chemin Godin",525 000 $,Sherbrooke (St-Élie-d'Orford),Estrie,,,,,,1 ,"7 418,00 $","307,00 $",,
"1046, rue du Canna",525 000 $,Ste-Dorothée,Laval,2,1,1,2,"1,085 ",23x93 ,"2 813,41 $","314,37 $","1 356,00 $","600,00 $"
"301-3650, rue Roland-Marquette",525 000 $,Longueuil (St-Hubert),Montérégie (Rive-Sud Montréal),3,1,,1,"1,125 ",,,,"700,00 $","200,00 $"
"45, rue Léo",525 000 $,St-Philippe,Montérégie (Rive-Sud Montréal),2,1,1,2,"1,320 ","1,647.95 ","2 990,00 $","245,00 $","1 000,00 $",
"463, rue Marie-Perle",525 000 $,Mont-St-Hilaire,Montérégie (Rive-Sud Montréal),2,1,1,2,"2,167 ","24,905 ","3 421,00 $","333,00 $","1 980,00 $",
"688, chemin de la Diligence",525 000 $,Stukely-Sud,Estrie,3,1,1,1,,"181,296 ","2 200,00 $","220,00 $","2 300,00 $","900,00 $"
"405-2100, rue Terry-Fox",525 000 $,Chomedey,Laval,2,2,,1,"1,253 ",,"3 691,00 $","764,00 $","696,00 $","335,00 $"
"12705, 53e Avenue",525 000 $,Rivière des Prairies,Montréal / l'Île,2,2,,2,"1,575 ","5,000 ","2 172,00 $","420,66 $","2 170,00 $","700,00 $"
"1, chemin des Osmondes",525 000 $,Orford,Estrie,,,,,,"121,504 ","861,00 $","128,00 $",,
"980, rue des Jardins-Fleuris",525 000 $,Sherbrooke (Fleurimont),Estrie,6,2,,1,,"10,893.08 ","2 700,00 $","205,00 $",,
"101-1970, rue Saint-Jacques",525 000 $,Le Sud-Ouest,Montréal / l'Île,2,1,,1,760 ,887 ,"2 494,01 $","295,12 $","1 254,32 $",
"8490, avenue Pierre-Martin",525 000 $,Rivière des Prairies,Montréal / l'Île,2,1,,1,"1,150 ","6,983 ","2 686,00 $","345,00 $",,
"1151, terrasse Bellevue",525 000 $,St-Valérien-De-Milton,Montérégie (Rive-Sud Montréal),3,1,1,2,"1,711 ","20,000 ","2 000,00 $","260,00 $","1 670,00 $","900,00 $"
"184, rue Goyette",525 000 $,Longueuil (Vieux-Longueuil),Montérégie (Rive-Sud Montréal),3,1,1,1,1 227.09 ,2 486.46 ,,,,
"44, terrasse des Boisés",525 000 $,Lac-Brome,Estrie,3,2,,1,"1,150 ","14,445.17 ","2 367,00 $","270,00 $","1 100,00 $",
"5323, rue Chabot",525 000 $,Le Plateau-Mont-Royal,Montréal / l'Île,2,1,,3,810 ,,"2 927,00 $","373,48 $","950,00 $",
"251, rue Savignac",525 000 $,St-Germain-De-Grantham,Centre-du-Québec,4,2,1,1,920 ,101.84x74.08 ,"1 852,06 $","387,25 $","2 547,13 $",
"300-1560, rue Principale",525 000 $,Ste-Julie,Montérégie (Rive-Sud Montréal),3,1,1,3,2 021 ,2 051.60 ,"2 484,75 $","302,69 $",,
"43, rue Malo",525 000 $,St-Jean-sur-Richelieu (St-Jean-sur-Richelieu),Montérégie (Rive-Sud Montréal),3,2,1,2,"1,700 ","9,682 ","2 037,00 $","265,00 $","2 500,00 $",
"1180, rue des Pourpiers",525 000 $,Lévis,Québec Rive-Sud (Lévis),4,2,1,2,1 806 ,9 500 ,"3 762,00 $","407,00 $","1 368,00 $","850,00 $"
"76-78, rue Principale",525 000 $,St-Michel-de-Bellechasse,Chaudière-Appalaches,,,,,,15 403.16 ,"4 357,83 $",,"6 800,00 $",
"172, rue du Domaine Cloutier",525 000 $,St-Colomban,Laurentides,2,2,,2,1 419 ,41 743 ,"2 579,00 $","257,00 $","2 676,00 $",
"505-190, rue Don-Bosco Nord",527 240 $,Sherbrooke (Jacques-Cartier),Estrie,3,1,1,1,1 494 ,,"3 629,95 $","272,99 $","830,89 $",
"70-76, avenue Sainte-Brigitte Sud",528 000 $,Montmagny,Chaudière-Appalaches,8,5,,,,"5,672.58 ","5 175,53 $","378,86 $",,"3 371,37 $"
"4-658, rue des Sureaux",528 000 $,Boucherville,Montérégie (Rive-Sud Montréal),2,1,1,2,1 320 ,,,"266,00 $",,"480,00 $"
"1424, chemin Pincourt",529 000 $,Mascouche,Lanaudière,3,2,1,1,"1,900 ","17,787 ","1 912,29 $","671,01 $","2 500,00 $",
"5082, chemin de Lost River",529 000 $,Harrington,Laurentides,2,1,,1,"1,280 ","214,697 ","1 478,00 $","158,00 $","1 660,00 $","905,00 $"
"694, chemin James Fisher",529 000 $,Hemmingford,Montérégie (Rive-Sud Montréal),3,1,1,2,"1,500 ","57,000 ","1 637,00 $","383,00 $",,"950,00 $"
"209, chemin Hayes",529 000 $,Val-Des-Bois,Outaouais,2,1,1,1,936 ,"54,450.00 ","964,59 $","450,00 $","1 500,00 $","500,00 $"
"1514, chemin du Bord-de-l'Eau",529 000 $,St-Henri-de-Lévis,Chaudière-Appalaches,4,2,1,2,"1,730 ","12,730 ","3 877,00 $","343,00 $","2 412,00 $",
Chemin du Tour du Lac des Iles,529 000 $,Mont-Laurier,Laurentides,,,,,,"2,613,600.01 ","594,56 $",,,
"595, rue Marquette",529 000 $,Deux-Montagnes,Laurentides,4,2,,1,39.37x26.25 ,"8,799.50 ","3 111,70 $","266,14 $","1 850,00 $",
"4711, route 344",529 000 $,St-Placide,Laurentides,3,2,,3,"2,000 ","28,974 ","2 146,07 $","300,00 $","720,00 $","1 400,00 $"
"3761, rue Saint-Hubert",529 000 $,Le Plateau-Mont-Royal,Montréal / l'Île,3,1,,1,888.02 ,"1,453.13 ","3 792,37 $","467,97 $","1 920,00 $","1 914,04 $"
"162, rue Daigneault",529 000 $,Chambly,Montérégie (Rive-Sud Montréal),3,2,1,2,"1,754 ","2,327 ","2 408,00 $","264,00 $",,
"9031, rue Saint-Étienne",529 000 $,Mirabel (St-Benoit),Laurentides,4,2,,2,"2,700 ","6,800 ","1 600,00 $","350,00 $","2 500,00 $","1 500,00 $"
"401-81, promenades des Îles",529 000 $,Chomedey,Laval,2,2,,4,"1,170 ",,"3 016,56 $","326,95 $","990,24 $",
"992, avenue Brown",529 000 $,Montcalm,Québec Rive-Nord,3,2,,1,"1,946 ","9,908 ","4 260,00 $","414,50 $","320,00 $","1 163,20 $"
"5018, rue Joseph-A.-Rodier",529 000 $,Mercier / Hochelaga / Maisonneuve,Montréal / l'Île,2,1,1,2,1 232 ,,"2 541,00 $","293,00 $","1 140,00 $","640,00 $"
"421, route des Pionniers",529 000 $,Rouyn-Noranda (Granada),Abitibi-Témiscamingue,3,2,,1,1 100 ,75 690 ,"3 129,00 $","358,00 $",,"874,00 $"
"5-761, avenue Querbes",529 000 $,Outremont,Montréal / l'Île,2,1,,1,823 ,434.65 ,"2 498,96 $","312,52 $",,
